店名,住所,カテゴリ,備考
牛角袖ヶ浦店,袖ケ浦市蔵波台5-19-1,dining,
しゃぶしゃぶ温野菜袖ヶ浦店,袖ケ浦市蔵波台5-19-1,dining,
焼肉ゆえん,袖ケ浦市蔵波台4-20-8,dining,
アメリカンステーキ16イチロー,袖ケ浦市福王台2-21-1,dining,
居酒屋れいちゃん,袖ケ浦市福王台1-11-27,dining,
一幸袖ヶ浦店,袖ケ浦市代宿105-2,dining,
横浜家系ラーメン吟家袖ヶ浦店,袖ケ浦市神納1-20-2,dining,
すき家16号袖ヶ浦神納店,袖ケ浦市神納1154-1,dining,
ミニストップ袖ヶ浦神納店,袖ケ浦市神納1151-4,shopping,
けやき,袖ケ浦市神納3318,dining,
Café MA:AM,袖ケ浦市神納4135-44,dining,
ROUTE,袖ケ浦市神納1-11-10,dining,
Carney's福王台店,袖ケ浦市神納1-1-3,shopping,
照寿司,袖ケ浦市神納1-1-23,dining,
シャトレーゼ袖ヶ浦店,袖ケ浦市神納1丁目2-15,shopping,
ラーニ袖ヶ浦店,袖ヶ浦市神納1-19-3,dining,
美来,袖ケ浦市神納1-18-1,dining,
あま海苔直売センター,袖ケ浦市神納1-19-1,shopping,
幸寿司,袖ケ浦市神納2-18-5,dining,
居酒屋野みち,袖ケ浦市神納1-11-14,dining,
袖ケ浦市民会館（昭和交流センター）,袖ケ浦市坂戸市場1566,rest,
長浦交流センター（長浦公民館）,袖ケ浦市蔵波513-1,rest,
根形交流センター（根形公民館）,袖ケ浦市下新田1277,rest,
平岡交流センター（平岡公民館）,袖ケ浦市野里1563,rest,
平川交流センター（平川公民館）,袖ケ浦市横田115-1,rest,
百目木公園,袖ケ浦市百目木,rest,
森吉公園,袖ケ浦市長浦駅前3丁目,rest,
泉公園,袖ケ浦市蔵波台,rest,
福王台中央公園,袖ケ浦市福王台,rest,
農村公園ひらおかの里,袖ケ浦市野里,rest,
